uid,answer_downvoted_count
18311,7
17423,3
15441,7
14797,5
1582,6
17726,4
1553,13
17969,62
17555,26
14757,2
11080,4
15055,2
419,25
894,23
12267,18
16996,20
18264,7
1132,14
17055,9
9555,9
15936,10
13275,2
2410,1
18557,1
12297,26
14980,30
11489,3
15155,5
18242,3
6275,10
13785,5
18579,9
16211,6
13979,44
8113,1
18088,4
6667,30
13552,4
18160,4
16338,2
5211,4
3685,14
15,96
1710,1
15183,9
17635,2
6319,5
14460,10
17909,24
16583,2
17921,8
17013,3
13038,16
1275,7
4525,34
14026,4
18028,1
14111,1
16512,6
12870,7
7969,12
17086,30
117,8
7601,36
11601,23
9787,7
697,1
994,13
1703,1
2718,1
2786,2
13608,3
13185,17
6598,13
1820,15
2697,2
2706,1
13602,11
2652,2
10865,3
8834,7
18391,6
1766,16
7627,1
8946,4
16563,1
1414,1
11725,2
3009,1
15090,8
17784,7
17739,8
18468,1
18355,4
16180,7
16798,1
14081,4
17492,6
9780,8
15380,8
18412,2
6525,1
14934,7
7067,8
3700,40
5999,13
4410,5
2296,29
16964,65
4724,41
12438,3
9596,1
7785,1
11160,67
7390,3
6606,14
2898,2
4436,2
16919,6
16873,3
18396,7
14,5
14684,3
3709,6
18168,2
14696,25
18361,1
10394,2
9716,1
7553,21
7272,12
17513,2
18216,8
15785,1
9304,12
2058,4
3317,12
16199,18
10060,3
12311,27
12269,2
17425,2
16843,2
17845,2
1571,9
18342,1
16891,9
13786,28
18200,4
15175,18
1782,3
7745,1
18295,1
6786,4
1179,2
18232,9
16991,3
16982,2
7878,1
18041,11
18159,2
418,19
16922,2
15156,7
13867,38
1854,1
1348,2
516,1
210,7
12729,13
17520,1
17779,6
1736,4
16600,7
1373,6
18217,2
6003,2
14270,3
18198,2
16642,1
15814,7
10411,1
6749,3
14339,1
17605,1
9563,4
6868,18
7093,1
17618,1
1535,1
13807,2
17634,3
1350,3
15731,4
1637,14
17881,1
11170,1
299,10
3022,6
17998,15
17014,3
12535,1
9885,2
16208,16
15603,6
1986,7
2555,4
15567,3
11822,5
10163,3
8841,2
8039,13
17112,3
3729,2
13497,4
17016,2
6573,5
18061,3
16806,20
17752,1
2713,3
291,1
16811,5
1191,13
1450,19
17583,9
17975,5
14409,6
1371,4
