uid,answer_upvoted_count
176,776
9297,435
17513,338
3685,2499
18317,41
7553,950
16254,238
9522,215
17064,248
13802,442
16180,82
16211,705
17884,275
13782,78
15814,24
18277,85
2533,202
555,116
17691,130
8275,272
6667,381
4724,1033
15271,47
15956,93
13728,70
12067,149
9352,57
13449,11
9063,161
5390,44
6171,520
9655,25
18136,10
11,661
17157,15
114,48
14920,18
12189,403
6345,104
14081,440
15380,164
13710,1035
16958,31
10528,232
15370,27
16852,77
17532,129
17793,174
13038,214
7964,436
8633,1067
14980,861
518,213
216,532
1077,191
8160,22
7601,1338
8604,295
6708,67
15973,409
7794,539
15782,682
271,305
15,2161
18302,35
16462,127
5382,272
17845,46
419,1266
728,385
12297,306
6868,856
18035,139
3042,96
569,1262
14757,24
1567,17
13318,507
2532,378
14245,773
17010,550
13786,256
12700,286
6993,30
7439,44
13909,23
749,781
11082,110
3317,626
15441,21
7834,371
14394,421
14650,732
17245,63
6003,226
252,7
7745,6
1097,122
14482,414
1571,417
6319,152
16922,158
357,118
15179,32
229,27
618,189
4410,257
16919,44
17055,171
18295,8
9304,685
8423,80
16354,25
18024,2
1637,618
1470,392
14002,10
16672,55
10060,55
18314,12
13960,136
13857,2
6190,245
12313,13
18287,37
1450,390
16527,37
11115,49
12267,205
13315,297
17492,105
18166,13
6275,1214
838,5
2296,638
7550,44
14059,276
1907,21
6671,764
17312,34
4525,1414
18544,8
2858,754
7997,552
7887,374
15511,55
15479,9
14479,39
1073,193
14707,167
15785,34
14564,74
1132,259
14157,91
17086,1094
16759,7
16964,79
11498,132
449,1104
13785,432
9885,295
3619,17
16843,46
10114,94
8988,195
2814,273
16606,328
2,394
18596,5
18142,87
17635,94
5615,184
18316,18
18576,2
18572,12
12709,29
14122,8
17555,84
2710,26
14321,74
14460,250
2791,44
17767,74
836,110
16199,793
1766,212
1714,6
1666,27
299,83
1902,37
7121,343
15743,93
9555,430
13853,73
418,715
6874,133
2058,493
3487,505
14176,234
14722,142
18386,15
11589,110
1339,46
123,287
524,100
12653,275
10712,223
18645,1
1820,232
18650,8
1066,23
12543,41
1275,123
18310,36
12244,21
12211,149
18595,12
13009,371
7496,89
11804,270
13602,98
17577,3
17061,379
6194,154
3484,174
16338,51
2735,102
6591,157
911,31
17,137
7026,2
6984,30
12573,278
1674,405
15603,349
14385,40
18626,13
17969,138
18472,73
18591,2
10917,294
6606,704
18529,10
14424,70
18603,4
13063,332
17339,34
6786,15
10448,113
17926,55
18569,7
7375,361
558,33
1786,23
18262,12
16991,59
13403,367
8685,82
210,258
15676,3
11579,11
15274,483
17143,264
7878,36
14739,6
18618,33
754,49
10805,54
11601,888
7218,45
437,34
16171,5
8,164
16410,12
14463,73
13805,193
6056,155
8850,53
18160,156
17605,72
