uid,article_agreed_count
1,1547
2,109
3,23
4,47
9,177
11,26
12,16
15,1602
17,0
28,2
29,-3
35,-11
52,66
64,-5
80,94
92,9
99,11
102,0
111,5
112,5
114,-1
123,122
126,17
133,50
148,7
159,0
162,0
165,365
172,1
173,14
176,228
210,60
214,10
216,704
218,5
229,74
232,18
245,112
259,0
271,268
290,108
299,1
327,3
334,63
347,-5
369,10
380,33
382,-2
393,19
405,1
414,2
418,431
419,3
420,2
422,1
427,13
449,9
457,8
469,0
484,47
515,5
516,337
518,67
524,440
528,8
549,0
555,54
558,18
560,6
570,8
575,0
584,12
587,33
593,10
595,14
653,34
716,6
728,16
744,0
749,382
754,2
766,2
772,33
787,19
793,-33
798,124
799,266
884,-3
889,7
894,3
910,164
920,8
936,1
940,0
945,25
951,88
953,20
956,7
1001,161
1006,7
1020,0
1021,11
1028,0
1034,1
1050,1
1063,0
1066,60
1073,15
1077,10
1078,0
1086,0
1097,171
1098,0
1108,19
1124,31
1132,1
1136,0
1148,7
1179,242
1185,2
1189,92
1191,0
1197,11
1203,1
1210,65
1217,2
1226,39
1228,0
1238,14
1245,-11
1247,11
1250,8
1263,166
1274,11
1275,165
1282,25
1283,82
1300,0
1319,19
1326,1
1328,6
1329,194
1331,2
1339,0
1347,6
1363,2
1372,16
1376,41
1401,0
1416,17
1421,542
1434,-2
1441,8
1450,33
1470,26
1472,4
1478,-2
1484,6
1506,62
1535,5
1536,6
1538,6
1549,11
1552,54
1571,138
1585,1
1620,0
1637,384
1654,5
1655,7
1662,10
1666,-6
1669,7
1674,0
1714,2
1722,71
1734,7
1765,27
1766,101
1777,6
1779,13
1782,0
1789,2
1805,7
1815,-2
1820,28
1847,23
1848,275
1849,4
1919,6
1927,279
1946,50
1951,37
1962,39
1967,51
1979,9
1988,-8
1996,0
1998,-2
2040,0
2054,21
2058,8
2067,12
2076,14
2078,48
2101,3
2131,15
2138,-1
2145,29
2167,100
2189,12
2204,0
2243,-3
2256,8
2262,0
2268,0
2273,20
2275,0
2296,612
2309,0
2314,32
2323,7
2329,61
2333,7
2351,18
2360,10
2363,1
2409,200
2467,1
2482,32
2487,1
2488,0
2502,0
2503,4
2532,-1
2548,0
2552,20
2555,-21
2560,17
2561,1
2613,5
2616,-1
2667,-1
2668,-1
2686,78
2694,17
2705,5
2735,15
2771,59
2777,10
2791,173
2814,31
2828,0
2836,18
2850,0
2858,249
2865,0
2901,6
2944,91
2958,-1
2961,141
2962,20
2969,0
2984,93
2985,1
3003,2
3012,635
3021,-9
3022,16
3028,5
3041,27
3042,13
3044,2
3047,0
3053,37
3061,0
3065,3
3066,0
3068,0
3104,8
3105,11
3109,0
3122,7
3123,-7
3125,21
3128,12
3141,45
3182,1
3196,76
3205,-2
3212,113
3224,1
3225,-1
3237,2
3269,0
3271,-2
3297,-5
3308,-1
3317,74
3320,2
3324,1
3338,20
3344,14
3362,15
3373,13
3388,0
3457,0
3480,27
3484,47
