uid,article_comment_agreed_count
1,2280
2,140
3,78
4,163
5,5
8,101
9,3
11,1549
14,28
15,2332
17,245
18,1
21,0
29,2
32,9
35,14
37,0
42,12
54,0
62,11
64,21
80,39
85,0
86,0
92,6
95,-1
99,7
108,4
111,4
112,1
113,11
114,73
117,9
120,0
123,247
126,-1
133,392
135,0
136,41
141,3
148,11
154,17
155,10
156,33
159,7
163,7
164,3
165,543
167,4
168,1
169,0
172,20
173,68
176,1149
180,3
189,8
191,0
193,3
194,1
196,191
200,18
202,1
209,1
210,459
211,0
212,13
214,16
215,2
216,672
219,0
222,2
229,36
232,38
245,129
250,11
251,0
252,10
255,0
259,7
266,4
271,697
275,48
276,0
278,4
279,10
287,-9
290,30
291,36
299,43
303,0
307,1
323,3
327,11
334,37
340,1
344,-6
347,0
349,0
357,61
369,8
377,3
380,47
393,16
400,2
405,28
407,3
414,-14
418,1961
419,909
421,0
422,5
424,0
425,1
427,302
428,0
437,16
440,3
441,0
443,1
449,291
450,48
455,1
456,5
457,55
461,50
466,1
467,2
469,572
471,4
472,0
479,0
484,39
485,6
486,1
490,-7
495,0
505,0
507,1
515,4
516,478
518,136
521,16
524,979
528,10
529,0
539,21
549,10
551,0
555,54
558,45
560,11
565,22
568,2
569,1148
570,8
573,-8
574,16
577,0
579,-2
581,0
583,54
584,9
587,449
593,182
595,71
599,0
607,0
609,0
614,2
618,125
628,-4
645,0
653,222
657,2
665,0
668,0
678,0
679,0
685,2
695,28
697,2
702,-5
716,-4
723,28
728,115
733,0
734,0
741,0
744,44
747,2
748,0
749,342
754,285
766,150
772,0
776,53
787,6
793,-65
798,554
799,60
801,-3
815,15
819,6
823,0
824,4
826,0
831,-1
832,18
835,2
836,175
838,76
840,0
849,0
879,2
884,2
888,1
889,25
893,6
894,67
897,8
910,828
911,60
920,43
927,4
933,10
936,6
940,17
945,13
946,30
951,7
953,4
956,1
969,1
974,2
981,14
986,0
987,40
991,1
994,10
996,1
1001,192
1006,72
1016,297
1020,227
1021,186
1028,17
1030,0
1034,5
1043,0
1050,112
1055,3
1061,2
1063,2
1066,57
1069,14
1073,167
1077,118
1078,0
1086,7
1090,1
1091,0
1097,93
1098,1
1105,158
1108,181
1115,4
1122,-12
1124,153
1132,374
1133,0
1136,0
1148,3
1160,0
1162,1
1174,4
1179,346
1185,-1
1189,67
1191,123
1197,29
1199,2
1203,19
1210,84
1213,0
