uid,article_comment_downvoted_count
17665,12
18034,5
13275,11
17086,27
2309,14
17796,4
18461,11
18606,23
18579,12
17090,11
10805,29
17909,3
15370,1
7496,27
17014,6
18264,1
15441,24
13739,12
7601,114
1927,30
17739,26
18088,15
18564,7
3487,28
17331,10
18578,2
17863,4
17884,2
17921,6
14784,11
18361,2
1132,26
13979,164
14460,22
16211,1
16891,2
418,66
18460,3
1020,12
18249,11
14467,3
1986,12
7272,7
13038,33
14696,28
3685,17
14220,4
11998,3
18477,10
13786,48
17060,6
16964,88
17845,24
17690,3
18470,6
17061,36
16180,20
15274,17
1637,71
5513,1
18035,4
18474,1
14018,1
13851,4
14934,1
13867,29
15268,2
17010,5
12147,3
3041,2
7964,6
15401,1
17479,5
2791,5
528,21
17232,5
12697,8
9508,10
1097,1
13059,15
13748,3
12438,13
16199,6
799,14
18041,5
15283,1
10240,1
18355,1
17927,48
13958,3
15603,55
15567,16
12870,12
17528,2
9304,28
12189,7
13397,6
18256,9
18271,1
15317,22
2296,65
14900,4
8085,1
18200,2
2058,4
17520,2
6075,9
14176,10
18171,5
12975,14
10865,3
17779,14
17016,11
15271,14
17867,9
7553,11
15768,1
7322,9
12904,3
12311,18
3757,4
7662,30
2482,3
17609,24
2532,20
16987,9
18198,2
9348,4
716,6
18179,3
18117,2
17881,6
17423,58
14980,1
18140,4
18014,3
6275,21
7969,5
13185,40
17436,4
17969,8
910,13
17918,3
2804,2
18096,3
14245,3
13788,12
5186,5
4887,4
13745,18
11555,19
16996,20
16806,3
16504,1
3335,1
17915,1
17958,5
14225,7
13447,1
11100,2
18009,7
1674,2
11787,1
9321,1
5812,4
17365,7
17960,6
17443,6
13608,26
10917,4
14409,18
16922,1
15285,12
12350,2
8792,88
17,14
14643,10
17077,4
16858,6
15780,1
17798,28
167,2
17887,9
17792,3
15140,3
2065,3
16527,2
14424,8
17245,1
287,3
14797,1
2285,1
2673,1
18042,2
17752,1
212,7
18109,1
16365,1
6863,7
11835,30
7485,46
836,6
419,8
6874,4
17513,5
405,1
18405,1
18398,1
18365,1
10218,120
6952,3
14829,1
18621,3
18619,4
18603,15
18613,2
18729,9
18472,1
17327,15
18707,3
18857,3
17091,19
12729,15
14474,4
9297,25
6667,15
18598,8
17979,2
18288,3
14547,2
13802,33
12211,4
1179,9
1587,2
9681,1
18457,11
18523,15
7085,12
18558,1
8986,5
18875,9
18242,2
14139,1
18779,6
165,245
14463,2
9107,2
19084,11
9555,50
1077,5
15709,3
18772,17
16707,8
11248,1
1389,7
1339,3
19005,32
12661,3
18996,5
9919,8
3700,12
5676,9
19220,19
17998,6
15,21
18894,2
19089,20
9606,3
16909,2
7302,4
5680,7
19175,5
17635,1
17322,3
12297,14
17397,10
19121,14
19257,14
19319,16
19418,14
19447,2
13382,1
6586,2
16323,5
19270,3
11160,93
19364,5
8235,3
18882,1
2259,1
9709,2
18121,1
9103,5
7208,5
19170,10
18911,1
16354,3
19423,10
10448,1
15045,1
12543,9
11601,8
17055,15
19631,11
14394,17
6190,25
6671,7
19568,1
18942,19
4724,48
17305,3
12080,9
14914,1
1191,14
19759,4
19824,6
12576,1
18299,4
19870,25
13549,1
15782,11
17770,4
19426,15
8633,7
16353,1
19756,17
20152,2
754,5
19469,2
19355,1
20091,8
7510,2
20202,11
13318,6
5851,5
20255,1
6868,29
19508,48
19693,4
12533,4
1766,10
20249,3
8600,4
14270,3
20408,1
20465,13
20532,5
2268,4
17784,1
3012,45
20626,14
20298,5
8423,3
15300,2
20820,1
6347,1
20884,3
4525,14
484,27
20898,1
945,1
20931,17
8773,4
3501,3
18097,24
20036,16
20363,17
1226,49
20880,29
12222,8
20687,2
20755,2
11722,7
20360,5
10481,6
13569,1
1765,8
18918,5
12714,11
11758,3
11080,13
12267,62
21943,3
17835,1
9397,1
21819,10
21707,3
11530,1
5660,4
12160,1
12592,30
3308,4
11217,31
6056,7
3205,2
12575,42
10183,1
12566,19
3269,15
245,5
12629,13
8256,19
7887,2
8483,10
7236,7
9787,1
133,115
1,158
12318,7
11658,1
8380,1
3532,3
10086,3
9932,6
2836,1
653,1
11202,5
11976,2
3075,2
2984,5
8685,2
8965,10
12650,10
12025,2
11928,14
6489,17
8988,3
12631,1
8321,32
1016,4
6573,39
9671,2
8039,4
10677,8
9868,2
9821,5
1254,1
8705,2
1777,4
9522,5
6171,83
12344,1
12665,1
11939,2
6231,15
7121,3
7098,24
11934,1
3627,2
11846,2
8247,5
6886,3
11447,2
12489,2
12016,2
9554,5
4563,2
12089,3
12679,1
12637,3
8585,1
10712,1
3592,8
5151,2
11342,2
11428,1
12690,4
449,5
5390,2
5473,1
12276,1
271,4
3151,5
9526,2
12723,13
5606,3
1820,1
12718,3
6646,1
12706,4
11358,1
7829,2
12208,1
3212,3
6549,1
7017,1
9063,3
8072,1
11367,3
8897,2
176,2
8352,2
7118,1
11098,2
12428,3
10059,1
5861,40
11245,1
12446,1
7785,1
5511,3
12767,1
12772,1
4296,55
10512,2
5615,2
3512,1
9765,1
6598,81
12828,4
11731,8
12114,4
11368,2
9858,2
8850,12
12286,1
11380,9
12216,4
11196,1
1021,11
1644,1
11933,2
8852,6
8603,4
1283,4
12843,8
12918,1
11989,1
29,1
2078,3
2475,1
9862,2
9673,5
8365,3
8849,2
10409,6
9073,5
587,36
5852,2
9382,4
7225,5
894,8
12954,3
10825,1
10528,6
12934,1
6345,1
11592,4
1122,16
11767,3
12973,5
9082,1
7630,2
7997,6
12977,9
12343,4
5377,5
2167,1
12969,18
10097,1
2314,18
12662,4
7472,1
6754,1
11730,2
14,3
13002,8
10436,1
7437,16
12435,2
12962,2
7934,24
11113,2
8023,2
1919,6
8604,8
3022,1
5976,8
12857,1
9455,5
13087,7
7931,3
569,1
6871,2
13131,2
4369,1
12933,27
1470,6
12381,1
1272,1
9022,2
13177,4
13140,3
10140,7
9313,2
9819,7
1789,1
8623,1
6194,1
4803,3
7824,1
798,8
13193,1
7529,7
10958,1
6860,27
7551,1
13202,4
2930,7
7375,11
10074,1
3317,5
13207,2
2305,18
9336,1
1197,2
13226,8
595,3
13231,3
7142,1
12550,2
12884,5
13103,3
13246,7
12658,10
2189,8
13304,4
13063,10
13299,1
13336,1
1539,1
13068,9
5000,15
6609,4
13338,2
13373,7
2858,2
11962,3
10372,9
10704,2
12921,11
2555,4
13436,1
13446,16
9236,1
749,2
11963,1
13432,2
13241,1
2553,3
13522,7
13454,1
8576,3
11321,1
12698,2
114,1
1050,2
13610,1
4329,3
427,10
11820,3
7255,1
5149,2
11512,2
10756,2
7164,3
13658,1
1261,1
6389,1
13509,17
9957,6
13701,1
9171,1
7055,3
13278,14
6708,1
8203,2
12700,4
1571,5
12864,1
3602,2
13311,1
8785,5
1105,1
7044,3
11426,1
5999,5
7249,1
13746,96
13552,2
13424,1
13738,7
13757,1
8978,5
11456,1
13870,9
1240,2
12485,1
13817,1
9861,4
13864,2
13848,4
10992,2
6591,6
1450,38
9595,2
6606,4
832,1
9706,3
12987,1
1380,3
13871,5
1582,4
13290,4
6763,3
7794,2
9586,1
8438,3
11247,4
1347,6
6540,1
14092,9
14049,2
6005,10
13262,1
1108,4
13963,2
9637,3
2613,2
13751,10
10479,10
14175,20
13456,17
14213,3
14147,4
13809,2
200,1
8480,9
14137,1
10315,7
8935,8
13789,2
13897,4
618,2
14160,27
14281,10
14285,6
14292,9
14294,9
14300,3
11349,1
9384,2
6558,4
7256,1
14312,2
13866,4
14315,3
14318,3
13727,3
14338,2
14347,16
14342,1
14309,3
14329,31
9460,1
10290,8
3320,4
14382,12
14332,12
4971,1
11226,1
14436,10
14445,1
14350,7
14457,13
2070,2
14407,2
14468,6
14321,14
14472,3
10770,1
12674,4
14476,3
8769,1
11486,3
13713,3
10421,1
14509,3
9846,27
12274,3
14480,2
14507,1
13630,2
10451,2
10060,6
14461,8
2317,1
14314,2
14513,21
13557,34
13546,1
14578,7
14588,6
14575,2
11839,3
9796,2
7550,2
14418,1
14664,2
14284,4
7831,1
7894,1
14678,2
14610,2
14732,1
14745,2
14395,1
13585,8
14794,5
14793,1
14587,3
583,3
12117,1
1499,2
14383,1
14706,5
14855,2
13710,1
13879,1
14384,9
516,4
695,1
14772,2
14941,1
14852,1
14956,2
14928,6
14939,4
14988,1
14865,10
10447,4
11489,4
15032,5
15047,2
14975,2
15094,2
13634,5
3541,1
14765,2
15122,4
7827,1
11981,2
14442,2
14693,1
7290,1
15229,3
14119,5
7571,13
14040,1
14298,1
8754,2
15257,4
15279,1
11330,1
15291,7
15290,7
13117,1
12067,2
15302,3
15062,1
15281,6
15183,4
14157,1
15444,3
15457,1
3109,3
6003,7
15492,23
15496,8
13516,1
15458,1
15505,1
14560,3
4520,1
15570,11
15585,11
3744,10
15393,17
14227,10
14444,8
15636,2
15246,1
6405,1
13687,17
14385,2
1655,1
1006,1
15650,6
793,1
15703,2
13090,10
14002,1
15739,5
15074,1
15748,2
8328,1
14291,1
15730,7
15788,3
15816,3
15829,1
11982,6
8992,1
15662,2
15308,1
13575,2
15873,1
210,2
2771,29
15801,5
2735,3
6618,2
15746,1
15936,8
15761,14
15969,2
6078,1
15981,1
15989,1
15910,1
15462,1
14692,2
15413,3
15997,1
13181,1
11179,1
15944,1
15794,6
16051,5
14031,16
6616,7
13909,2
14439,3
15415,24
15617,1
16102,1
15954,9
16151,1
555,3
14118,13
11099,1
11143,3
16163,1
16179,2
16185,3
8354,8
16204,4
14715,1
16254,6
2410,1
15889,1
16310,2
16335,30
8197,5
2360,1
16407,8
14516,4
16340,1
16242,1
14699,6
16367,10
16208,1
728,1
1073,7
16326,3
15353,1
13770,1
14390,6
1736,1
8113,3
16514,28
2145,1
3338,69
16551,1
16556,1
16565,8
16576,3
16638,5
16205,1
12144,1
13820,9
16311,2
6293,6
16644,1
16627,41
9600,2
15973,4
5521,1
14770,1
11725,2
15573,1
16579,2
16590,46
15470,1
16516,3
64,1
11130,1
8217,2
16659,12
14477,9
16804,25
16836,3
16835,8
13615,1
2394,1
10545,3
8400,2
11621,3
16856,2
8512,1
16333,3
16559,3
16873,5
6545,2
15996,1
16643,1
16100,5
5393,4
14879,1
9686,2
7815,1
16995,4
5468,2
16852,6
11948,1
574,2
12573,5
12854,1
16915,2
8694,1
17046,2
4334,1
5537,2
17106,1
15789,2
17092,2
17135,3
17151,2
17111,2
8872,1
1189,1
17044,17
13587,1
14216,19
8479,1
17243,21
17186,3
17273,1
17225,1
13315,2
8,1
17291,3
994,6
7923,1
17288,4
987,2
3616,1
17347,3
17249,3
16955,14
17048,2
16219,4
7507,3
13403,7
17103,2
17431,3
13019,1
13577,2
12086,2
10008,2
17049,28
17403,3
9400,1
16550,3
17555,5
11718,4
17525,3
16462,2
17231,1
95,1
17574,1
17583,2
17511,1
14812,1
4984,1
17551,5
16759,6
13975,4
17538,4
12781,3
17469,1
13827,2
17570,2
8201,1
17310,2
17437,1
1421,1
17683,7
17713,12
6319,1
17759,4
17738,1
18592,5
7241,1
14722,7
3709,2
15380,8
18691,12
18683,2
18661,3
7834,1
16555,2
18623,8
18160,10
18760,4
524,3
18781,7
18788,1
18756,1
17294,1
6483,5
1638,1
7863,1
14757,1
18839,3
18877,12
18360,1
18883,11
14707,1
18869,1
17089,4
18582,1
18920,1
414,3
18983,5
9289,1
4906,1
10342,2
18884,1
18840,17
13983,4
14650,3
19017,3
16583,3
18447,11
18861,1
19011,2
16273,1
18770,2
4554,1
6313,1
16821,1
17768,1
19112,1
19138,4
19163,1
19166,7
14128,1
19241,5
19262,8
2101,2
18142,3
19212,7
19252,2
19277,2
19278,5
14617,1
19280,7
19293,7
19307,2
19311,1
19271,2
18854,1
19343,2
19346,4
19349,5
19356,2
19372,2
19369,4
19376,2
19379,3
19382,1
17338,1
18899,1
1648,1
3125,1
1854,2
13093,1
19516,1
19522,1
6519,1
19459,1
18416,1
19561,3
8029,1
14412,1
18886,2
19442,3
19675,3
19164,2
19676,2
5760,2
19714,6
19720,2
12126,1
12532,1
19731,1
19744,7
19723,1
15051,1
16373,4
19255,5
18393,3
19770,8
19780,2
19777,20
19782,1
13812,1
4932,1
14787,1
11811,1
17968,5
17063,2
12775,1
16431,1
2121,3
19581,1
14005,10
13782,1
19684,1
20006,17
17143,1
19964,1
14330,4
20021,1
20025,2
15243,2
20045,1
18228,5
1275,1
18437,6
14455,1
14401,1
6336,1
12324,1
20059,2
16598,4
19947,3
11498,1
19911,2
10318,2
14905,3
18937,6
20146,1
16834,1
19944,1
7281,1
13329,2
20256,2
1328,1
7890,8
2871,5
19553,2
17098,1
20326,2
19234,1
19544,3
19900,4
20030,1
17705,1
4761,2
8402,1
9677,1
19909,1
1263,1
19073,5
13717,1
20524,13
20550,1
815,1
19000,1
20545,2
19779,2
20270,1
13217,1
2054,1
16428,1
8103,2
20457,1
19374,6
19193,2
20232,6
20715,11
20528,1
20441,1
9137,2
20593,1
14856,1
14564,1
11237,1
20468,1
20785,1
20803,1
19768,2
18262,1
19450,12
20818,6
20904,1
20698,1
20518,1
20469,1
20927,2
20946,1
20928,2
20963,2
12875,1
14500,1
15770,1
21021,1
20236,1
19023,2
19866,3
13266,4
4643,2
2243,1
2833,1
20423,1
21123,1
12951,1
13013,8
20244,2
16823,1
21160,6
15749,1
20033,2
18931,1
18987,1
13183,3
11579,9
7528,1
21312,35
21168,1
16397,1
20430,1
21370,2
14081,3
13328,1
19179,2
14970,1
21421,4
15080,2
21431,3
7358,2
20582,1
21493,3
21239,1
11,2
20747,1
21172,1
19809,3
20833,1
21523,1
19493,1
20690,2
17767,2
16117,2
13291,1
19029,2
16818,1
15429,1
1162,1
15623,5
20357,4
21555,1
21051,1
19864,1
18847,1
20976,1
21078,1
19706,1
21200,1
2110,2
20268,3
21613,1
16360,1
20786,1
16696,1
19895,1
20960,1
21163,13
20412,1
21351,1
21069,1
21363,4
18227,5
21849,1
11857,2
9054,1
6967,1
18326,2
5428,1
20471,1
22237,2
20938,1
21644,1
