uid,article_comment_upvoted_count
11248,395
18162,3
9508,163
16211,735
18041,39
516,466
5770,46
9885,77
16468,2
13786,369
18249,25
14081,535
7964,388
16991,25
6868,1996
17513,544
5513,123
5660,3
7601,2141
3685,3422
18316,8
8872,30
17060,156
1766,323
17423,692
1484,131
9304,1855
13016,77
16254,305
11725,295
16970,94
14467,40
16606,410
2296,1028
15785,53
910,625
12904,2452
12975,737
7553,1117
17010,1227
1927,316
15441,24
14220,43
14245,958
17845,55
271,524
17312,27
14,31
12872,250
16823,86
17461,5
18088,15
9054,158
17143,661
3541,450
14692,139
11,1436
18000,4
13937,29
7934,475
8685,234
16852,175
6558,256
15973,315
10060,53
1376,55
9297,206
17691,147
9969,128
18023,28
10169,165
7887,320
17984,21
10013,262
7375,1029
14463,69
18339,2
7997,1438
17880,14
1132,373
7429,61
7867,9
3487,1801
11080,357
1637,1409
18160,481
17086,4105
16843,26
5759,1
911,51
13853,120
7104,15
13710,1064
14645,25
5382,169
12297,454
13009,646
14812,95
176,426
18564,1
16647,51
2309,192
6275,2696
14099,10
13802,610
418,1692
6489,554
17992,330
18386,34
15511,103
6075,315
1283,357
4,157
6358,134
6667,324
18439,14
15274,2477
16643,152
17918,29
14270,244
2058,361
14059,179
17061,283
18591,8
13979,1018
18028,7
13960,373
15782,1685
18595,12
13059,192
569,848
17098,557
14934,1132
9555,410
15500,29
8275,330
16353,419
7834,219
15603,521
5438,174
8616,44
1105,159
17884,195
8633,880
6194,109
10428,56
6190,588
18443,6
4499,15
13785,731
6671,882
17555,102
427,274
1450,192
3480,27
10805,268
11555,316
14035,229
13801,44
12381,40
11804,212
3709,183
7218,13
7829,194
8483,749
4724,1078
216,442
8423,172
12781,50
15729,61
1777,21
6056,219
6319,98
15055,167
18058,2
13318,1014
11601,1852
1571,576
16111,235
9009,68
10528,217
6345,74
9862,350
18491,27
9673,551
12189,416
17898,2
18034,1
3041,43
9454,26
15625,12
12573,1295
18447,5
7413,10
6967,269
754,68
15380,291
2101,68
1470,420
16338,51
9846,823
17128,41
18603,3
14002,122
17528,60
469,535
11160,552
16199,696
3065,56
13192,151
7543,214
13909,151
16100,90
14575,327
2944,60
16630,52
14128,90
11792,74
15671,122
3757,155
8978,107
10917,311
17979,43
17001,54
14314,532
10865,264
419,911
13181,6
12216,332
7794,1053
11962,159
11982,75
8785,96
18142,140
18035,247
10918,747
10447,132
14542,331
18178,2
5157,1
5721,36
7142,195
8154,39
8992,130
18416,17
12722,68
2713,36
16955,183
12242,56
17232,205
18262,68
15653,111
2482,282
8819,48
16909,91
4525,1179
18598,28
1,1630
5310,14
2360,34
14412,32
14460,307
1254,21
2145,116
18248,9
13329,65
16306,184
1179,260
11767,38
18264,1
18579,1
17532,211
6092,173
11130,361
133,173
12771,32
7106,3
3317,261
13315,547
7485,1116
12280,28
1020,222
15784,118
17909,47
8916,88
8066,52
8988,112
9706,38
7662,87
8965,21
18544,16
17605,46
165,603
17,220
15246,224
16964,81
7330,82
18086,5
7528,655
18018,5
17483,4
15140,31
8987,474
9431,14
14218,6
8542,176
15804,265
13756,23
18288,422
9922,97
17313,124
18421,3
749,283
6609,23
12654,119
17073,22
1263,386
13797,20
5537,39
17635,151
3012,1102
9344,7
744,30
18472,16
8103,29
1986,143
15,509
7510,237
14784,345
6708,38
18557,64
16805,28
18295,9
13093,83
18487,14
357,53
12700,548
15370,15
11570,10
13054,18
16397,615
12267,380
12653,90
