uid,article_downvoted_count
17520,12
18228,67
17705,1
18256,11
18596,1
18460,5
18461,9
18013,22
18397,8
17713,44
18041,20
13093,2
799,57
1927,8
9686,9
17739,15
17927,53
6092,1
2961,5
6606,5
9606,7
13786,10
18088,1
1245,1
15168,2
6874,5
17609,68
18174,4
17555,5
16303,1
17423,47
17634,4
1637,9
13975,2
2791,2
9304,30
1179,38
17787,4
1815,1
17993,3
7485,18
15300,2
17971,1
17917,19
17912,3
17582,10
6616,2
3685,14
3042,1
18132,1
15603,1
18218,1
9508,1
4803,5
18165,10
16964,28
18472,4
18875,2
14934,8
16590,1
5521,3
19072,1
1765,5
18469,1
19237,4
2101,2
6190,24
19431,2
19461,1
19455,3
19434,1
19421,2
14394,9
1191,8
18874,8
11211,12
14409,1
17086,4
19508,89
216,5
6868,10
19756,3
19870,3
13318,5
18882,6
20301,1
20626,4
8197,4
13979,8
20468,14
20036,21
13059,3
418,20
7225,3
19186,1
1226,9
21466,4
10805,23
15080,1
20755,2
18227,3
6681,2
10865,1
7934,5
19864,5
19544,4
3592,6
3700,3
8304,5
3205,3
11217,20
1470,1
3269,3
165,19
12592,28
8847,1
8500,8
12276,3
7281,1
9253,3
3532,2
8209,2
8850,10
12326,4
11933,1
8256,20
8792,3
4887,1
8235,1
12310,1
11820,1
8533,1
9526,27
11536,2
3053,2
1506,2
6585,1
11835,15
10059,4
12690,1
12768,7
12378,1
9600,2
12752,2
11866,3
12787,7
12796,2
10052,1
9765,2
10013,1
12812,1
12828,4
12835,2
5000,6
12862,1
11160,8
9821,2
1021,1
798,3
12906,1
11927,2
3663,2
29,2
6326,1
2078,2
11725,6
12550,3
8365,6
12947,2
12056,6
2296,12
12954,9
12973,6
10351,5
5473,34
12738,1
6171,9
13004,1
1,9
12435,1
11349,2
13021,3
12791,1
11380,1
6598,3
12216,2
7547,3
9455,4
10409,1
5847,2
9819,3
13109,1
13110,3
8423,1
13130,3
13135,3
13140,1
12910,7
13131,1
13147,1
1848,2
13133,4
13193,2
7243,1
8769,1
11928,1
12969,1
12933,6
1339,2
13237,1
10290,1
13246,14
8321,26
12829,2
8685,1
4724,6
9554,8
13290,5
13347,2
13346,1
12311,5
6573,1
13383,2
7867,2
13353,1
13391,2
13393,1
13418,3
13420,1
516,1
7503,1
5760,1
7662,4
3317,1
8354,24
13483,1
9851,6
13485,1
13536,2
13550,1
12297,1
945,1
6708,1
13568,2
13549,4
13582,3
13605,3
9186,1
9645,1
10840,3
13650,1
1148,1
12066,1
12421,3
10372,3
6389,1
35,12
7003,1
13695,6
12700,1
13700,1
12864,1
8457,1
13724,2
7044,13
13649,1
13746,13
6763,5
8704,1
8247,1
13848,3
13864,1
13946,1
9861,1
1450,7
6910,1
1962,9
14045,1
6586,5
13132,10
6489,1
11555,1
13315,1
6591,1
12781,2
14241,1
3541,1
528,18
3338,2
14093,1
12975,7
11226,1
14385,3
2984,2
3012,15
347,5
12658,1
14332,2
8751,4
1552,1
1766,2
3480,2
10010,2
6673,1
13106,1
13853,4
7167,1
3487,1
13802,1
14444,8
2189,4
15,12
6775,1
7302,2
8992,9
15138,4
14933,1
793,9
11962,3
13575,2
10756,1
2771,5
6078,3
10140,1
13090,1
13063,3
14118,8
10240,1
14699,12
5167,1
8125,1
15029,1
9555,19
64,13
16667,3
9901,1
1820,1
16205,2
16865,1
245,3
5192,1
11579,7
6239,1
16632,1
555,13
17091,11
17092,6
17124,2
5999,1
17142,3
17061,2
11601,1
9063,1
13377,1
17148,1
6097,1
17225,12
7675,6
17309,19
13038,1
6075,2
14453,1
16219,7
14812,1
17403,6
15782,1
17464,1
17528,1
1421,1
17231,7
17529,1
17645,1
17570,2
17680,1
17671,1
17695,1
17492,1
9580,2
18686,5
5125,1
18440,4
15415,1
18561,1
18801,15
16987,1
14513,1
1275,1
1967,3
7085,8
17532,1
19184,4
14650,1
18447,1
19164,2
19262,14
19138,1
19280,26
19289,12
19296,1
19298,3
19315,7
5544,2
19334,1
19342,2
19350,21
5812,1
19358,1
19386,1
1655,1
19509,8
16397,3
16100,1
9321,1
13851,1
18160,1
12904,2
6698,1
19255,5
18780,1
1250,1
18892,3
3744,1
6609,2
15274,1
419,4
3021,1
18897,9
15353,25
19713,3
2962,1
18383,4
19679,1
17098,3
3022,14
18779,6
20001,2
19900,12
12870,1
910,1
20111,1
15380,1
8055,1
484,1
749,3
19340,1
4906,2
20098,2
13782,1
10775,2
20236,9
18097,1
4643,1
20973,3
20960,1
8988,1
18314,1
13696,1
18242,2
19179,3
17513,1
20338,1
19809,2
20436,1
20200,1
18467,1
21224,1
20261,1
21638,3
524,1
18523,4
19960,1
17258,1
12843,2
18821,1
