uid,article_upvoted_count
2,20
52,20
80,8
9,34
369,1
418,363
558,3
653,15
570,1
15,181
951,22
14934,1801
18227,175
12573,451
6586,254
18942,12
12700,67
13614,21
1066,5
728,14
1097,141
216,343
1282,1
214,1
1189,35
17520,62
1329,81
1210,3
393,1
749,155
1319,11
1421,255
299,1
6112,13
1927,135
16189,105
3685,2342
19508,94
21196,42
20050,113
518,6
7997,1975
20295,36
16550,36
210,17
380,21
123,14
1847,1
176,58
12904,266
595,1
2351,1
787,4
1662,2
2167,4
6275,226
2694,2
2686,54
2409,41
165,282
1179,191
2145,26
798,31
3003,1
3021,1
3,1
1238,1
2944,38
1805,5
2323,2
3615,3
3012,401
271,183
133,8
3212,37
8354,559
4436,5
2985,1
4806,1
1226,41
793,1
1108,1
2791,163
1637,339
3053,27
3532,34
13946,21
4896,20
2858,217
4766,3
5167,10
290,8
1,913
3362,1
2329,16
484,44
229,2
5847,47
4761,49
4887,57
1951,21
3700,10
6190,344
6239,9
6243,14
5125,8
6352,5
6389,7
6092,108
6668,1
2296,573
6078,11
6705,1
2552,2
6380,11
2771,19
6326,1
1919,1
5544,11
6598,120
112,1
4803,10
3317,58
6016,2
7085,16
7429,22
7449,2
7503,4
7281,152
7547,4
6868,399
7660,1
7662,123
6606,90
7601,298
245,72
528,21
7886,43
7142,194
8148,14
8132,4
6640,7
8170,1
3487,274
8198,1
1124,19
8154,9
4410,47
8266,1
587,2
8256,24
2054,5
8404,1
8235,273
8748,2
8455,2
7994,8
5690,13
2984,60
8655,19
7518,2
8600,4
8365,3
6763,102
8394,10
8512,43
7988,1
6171,355
5721,1
7337,59
8847,41
9253,21
3125,6
7427,34
1450,36
6021,1
4222,20
5390,1
8850,18
8055,126
2814,26
13853,22
9304,1845
8704,51
8321,72
7934,135
9392,1
8766,1
2961,145
516,279
6671,21
11820,35
15782,235
12080,156
3541,43
8897,2
8769,2
8166,91
9137,24
5192,3
4724,219
12276,10
9432,1
3224,1
7691,2
10150,1
9014,16
8312,11
2333,1
9851,8
9673,97
6732,1
1416,1
8023,39
9554,619
7890,6
10014,17
3592,12
7485,417
10528,129
9599,3
10249,53
10891,1
1470,11
10840,28
5680,2
1001,54
1848,206
11217,11
6555,1
8751,144
11227,7
10629,1
1506,14
10290,4
10917,197
11099,46
11479,1
5468,1
10240,2
11196,17
10372,114
11536,1
1148,3
11096,2
12326,1
910,152
5000,135
10936,65
8640,1
2078,4
11115,35
8304,53
11211,174
11551,6
11623,1
11759,28
11825,1
8507,57
10918,75
13290,143
13801,3
9686,23
10712,5
9821,83
11940,8
9910,3
20629,100
7302,98
19693,69
3041,26
6573,55
7490,1
11579,13
799,310
10677,1
7276,1
12117,20
9932,8
12056,3
7516,46
9765,45
7526,4
11160,28
12210,2
11349,32
11512,37
15246,84
16955,55
13059,58
12171,1
9063,142
593,1
8522,147
11380,10
12421,10
12537,1
11601,287
12517,1
12392,30
12041,25
12310,156
9677,148
1441,4
4932,9
5178,2
3205,1
12533,103
11946,93
11555,183
8792,49
7225,179
3269,3
8637,6
12592,110
8209,12
1283,71
7256,10
8604,92
12260,12
8483,15
11920,7
8423,216
8992,138
9348,2
11113,6
8533,24
12747,9
5908,10
11430,8
8982,135
9164,11
1777,6
10059,4
1722,4
11835,2
9606,36
10428,30
12738,53
12722,140
7540,5
12378,2
9600,141
12768,1
11866,1
12780,3
8125,12
12787,3
10013,55
8197,32
7844,2
12696,109
12826,1
12828,2
12658,49
1372,2
524,382
12850,2
9901,18
12550,34
11928,52
8415,9
11613,62
1021,6
10910,7
12846,22
9706,1
12829,17
6591,39
12906,1
12788,30
12693,4
11725,108
9186,24
12933,65
1326,8
5149,18
9655,68
5473,3
12758,5
12857,1
9159,12
12972,1
6453,3
1571,136
13004,3
12791,4
10992,21
13021,17
12016,2
12216,66
10015,67
9455,1
8685,10
12964,1
9819,4
10774,1
6341,55
13131,32
13130,3
13138,3
1275,151
13149,48
7894,3
8500,10
13133,108
13140,4
13193,2
11804,19
12742,4
1766,98
12969,39
13231,2
13234,51
4346,19
6450,10
12729,2
12311,8
13278,6
7196,4
9580,89
2314,32
13299,2
13241,7
9082,5
13312,4
9508,12
13305,79
13336,3
13063,115
13347,1
5852,57
1549,11
7365,17
3480,29
11202,4
4643,3
13377,102
7867,1
6489,128
5513,1
3122,7
11954,4
1472,4
1484,6
13430,2
3196,57
13568,2
7980,27
13093,14
10409,3
13454,1
945,26
13483,1
10756,4
12052,3
13485,86
12297,4
9645,27
7133,9
13549,8
6708,58
12934,2
8480,3
8244,2
13582,1
9861,34
6616,103
11471,3
13650,4
3757,15
12652,1
13671,27
35,1
13632,33
11952,5
13700,3
12642,35
10958,16
16330,3
8633,64
20111,44
18546,33
1263,166
5252,6
13695,1
13649,10
11221,7
8785,44
13724,2
13734,3
13737,13
4984,1
8457,1
13746,149
7044,22
10448,2
13786,118
13794,2
6634,2
6967,51
13817,3
12975,153
13540,45
21466,137
17086,142
13065,18
17635,35
15080,3
20755,77
17784,6
17532,156
5760,71
13785,191
11226,6
13516,6
8978,38
13864,5
13805,24
13740,57
3105,10
8247,1
2613,5
13848,11
20386,2
20133,44
19909,30
19544,195
419,7
11080,168
17219,19
21102,28
11977,2
13519,15
13696,261
13935,1
3344,4
13960,25
6910,5
12332,20
12053,45
12781,10
9524,13
14002,5
8468,7
14045,6
14048,12
17124,2
1962,13
9171,72
8386,35
21519,1
21662,31
16147,55
20622,5
21152,15
18262,10
8201,48
1347,6
10775,3
13315,17
8819,41
14029,23
2560,16
7543,111
14093,6
7553,4
14108,12
8275,22
6874,23
13871,4
13300,6
9637,1
14209,24
14234,43
7834,33
14241,5
13942,62
12872,48
3338,22
13979,137
16991,5
14133,122
16992,1
16306,18
14513,2
7242,6
14410,11
6246,3
14332,20
772,4
14031,10
9073,26
14453,115
14385,45
13630,12
449,7
14516,6
13524,43
5628,2
13851,3
14444,15
8694,3
1552,55
14617,1
14424,2
10010,23
11420,3
14035,67
5851,10
8290,12
9460,14
6003,90
13782,155
14394,334
7093,12
13781,30
2189,16
15462,2
13403,22
5770,25
8310,109
14482,23
7827,5
11216,7
6681,22
8155,6
14055,1
10821,7
14733,3
11198,1
14157,59
6056,17
11589,9
13802,11
14492,47
12942,3
12407,2
10114,29
11715,4
3042,14
14812,70
5382,31
3484,46
12343,5
6609,87
12654,59
8586,25
14025,9
14784,44
15973,260
2131,15
15138,28
1376,28
14933,21
12267,14
12037,1
9556,5
15415,24
15029,16
5924,39
15321,12
15093,4
14176,6
232,18
13090,1
555,66
1946,36
3065,1
13067,10
6903,3
7461,8
15661,1
14081,48
11130,248
7528,17
8873,2
15300,236
8542,76
13575,8
13318,61
13068,24
13866,12
10140,8
16007,1
14771,1
14118,45
3022,30
7510,8
14650,97
6208,8
420,2
15908,60
3603,55
16205,21
7592,6
15243,48
15353,13
14699,10
16235,3
3645,19
16405,2
16462,5
427,13
12775,6
15823,18
16589,28
13602,9
16872,109
16667,2
64,8
14765,2
5521,217
13913,32
8382,20
4525,53
15274,197
12438,5
16924,2
9957,15
14940,21
17020,4
16632,3
17053,9
16199,28
15255,7
9297,10
7599,6
17092,1
17098,188
17061,33
16219,17
6097,7
16647,2
9555,76
17229,63
17225,6
7675,11
16100,39
17001,134
17309,31
13038,4
17339,2
766,2
16211,55
17338,5
3671,3
17417,1
13988,125
584,8
10865,18
15401,32
17350,34
16727,16
17464,1
16606,17
17469,1
7470,23
13587,3
17403,2
16349,11
17528,16
17529,8
10805,117
17645,2
17524,22
17582,46
17513,192
17609,6
13975,61
17511,4
17570,5
15889,9
17680,1
17695,2
17723,17
17713,20
16397,73
8410,9
17583,1
17748,3
11498,138
17787,12
1274,11
17824,1
2735,15
17397,1
17860,1
16759,2
1820,7
17280,3
17633,4
17912,2
17917,1
17927,10
17933,5
17971,1
17993,284
16354,11
17739,4
18013,1
15511,22
12189,66
18271,2
17232,27
15603,28
17055,102
17152,18
18116,31
17634,2
17768,19
18132,1
18041,9
13909,5
17423,168
16303,11
17772,2
17372,1
18088,17
18205,3
18206,2
18267,2
18218,1
18228,90
15168,2
18236,3
2482,32
18291,10
18256,2
17735,34
16590,12
18297,2
16324,37
18310,5
18357,2
18397,3
11248,26
15055,29
16798,10
17992,4
18391,4
18458,6
18461,3
18460,5
327,3
16964,20
13009,12
15804,123
15228,13
14954,5
18160,149
17555,4
18596,17
18609,9
15653,5
17705,92
18516,3
18472,96
11,26
18681,140
18440,1
17845,12
18768,20
18821,19
18299,15
18165,4
18842,4
15271,4
10324,106
18875,3
18870,2
16987,5
16376,273
18906,1
1328,6
18874,52
15399,114
1967,48
18415,15
18993,4
16950,7
19016,11
9846,6
19017,1
18980,92
19025,38
12313,55
1765,32
19052,8
18469,6
12094,10
19067,10
19069,2
19072,4
16353,133
17157,33
18168,23
18196,1
18004,16
18918,1
12579,3
3744,1
18779,30
19133,2
19152,33
19158,16
19171,1
19168,150
19182,5
2101,5
19184,12
17691,1
18447,2
19164,28
19188,6
19200,4
19205,2
19210,1
19211,1
19219,29
19230,4
1191,3
8987,8
18780,4
18959,5
18323,2
19269,9
19289,1
19296,1
19298,1
19299,1
19315,3
19317,1
1654,5
19325,1
19327,2
19329,5
5812,5
19334,4
19336,6
18367,6
19342,1
457,8
19348,3
19350,1
19386,2
19390,9
19391,3
19396,40
19399,5
17311,11
18346,25
18121,28
1655,8
19368,1
19272,8
17416,12
19455,2
18882,14
19462,524
5654,13
19169,84
11710,12
19756,79
18642,2
13342,13
15802,120
18886,3
19209,34
19486,7
14809,30
19469,48
18691,1
18864,8
4,23
18383,132
18639,30
15089,4
14367,7
14412,6
19255,39
10481,145
18503,21
17800,6
18473,1
19418,21
7106,5
6698,77
14575,32
16519,11
12493,92
19374,3
1250,9
15412,31
18965,12
18892,1
19626,3
19771,2
17153,49
14409,2
15785,2
17864,32
18143,2
13224,3
16849,30
6871,78
10169,14
6313,52
17010,2
18854,2
1132,1
14111,89
13829,77
15155,48
3709,6
19919,23
18302,24
3629,36
17722,2
17923,48
19956,4
19713,12
18487,4
18897,3
14105,6
19834,2
13641,27
1073,15
2962,26
3141,45
18594,10
17733,7
15231,35
19870,4
10318,2
19992,11
20031,2
17072,98
20036,44
11881,4
18981,6
18814,1
20098,13
5030,28
19113,2
13151,11
13400,97
20267,115
2058,8
6279,12
9922,15
20217,5
20327,101
19757,22
13217,14
20001,23
99,11
19634,4
19900,13
20280,84
20408,22
20389,37
9350,15
10811,18
19413,2
20301,44
12870,2
6690,15
19904,26
9110,60
17059,110
20566,12
19193,4
11515,47
20640,10
11839,3
17658,32
20653,25
15380,1
13291,5
18660,11
18142,4
20523,19
20528,24
20728,8
20600,2
19340,8
20436,11
19806,3
20691,6
20803,2
20468,3
20689,17
11800,15
20626,5
8395,1
19549,65
20236,97
4906,8
7437,53
20262,1
1779,13
20238,5
19029,4
20952,31
20963,8
20097,7
18467,104
20200,32
20960,18
21036,4
20786,52
953,19
19186,65
334,61
11718,6
20471,2
21146,48
21169,5
18210,1
16382,35
19363,80
21081,7
20237,5
20687,15
20297,6
12535,77
8988,24
17894,6
15063,13
14525,1
21013,23
21079,22
20261,42
20582,22
16974,4
20445,31
18649,3
19738,12
21163,2
13328,11
18946,11
6525,6
14401,8
19615,20
21239,3
19258,3
18314,1
20263,35
17708,8
17089,8
19095,47
16054,4
18242,12
18624,8
9947,7
19179,6
7358,45
20773,23
6539,22
17561,5
20631,49
15461,6
16338,11
20338,15
19809,10
18543,6
19864,9
18171,1
20229,7
20412,8
14542,37
21463,10
21224,1
5643,11
10770,12
3663,4
6667,6
13937,9
21638,7
17073,15
21386,3
17321,6
11767,4
18523,8
4134,3
21790,2
13981,10
12843,7
19960,7
17258,11
21585,74
16360,1
18895,1
19899,1
8965,7
19855,5
21350,69
9522,4
18288,8
13958,3
17496,2
21838,3
21813,5
14139,9
19734,5
18017,4
21993,10
6682,2
22011,21
14014,39
17890,2
