uid,user_name,fans_count,friend_count,topic_focus_count,agree_count,views_count,reputation,flagged
1,admin,213,815,0,4768,1678,877.066,0
2,viewer,76,1,53,1921,2816,502.547,0
3,幹乾干停用,26,7,6,436,1576,153.201,0
4,江泽民,27,12,2,467,2592,81.7406,0
5,伊莉雅,15,0,3,18,583,3.43,0
6,gettysburg,9,0,0,0,187,0,0
7,freedom,9,0,0,0,129,0,0
8,带带大师兄,25,5,0,732,1813,212.351,0
9,韭,45,0,2,174,1307,33.4813,0
10,ccav,9,0,0,0,186,0,0
11,姨湃湖岩,41,25,0,2645,3831,404.384,0
12,happy,8,13,0,0,236,0,0
13,闷声续大命,8,0,0,0,111,0,0
14,huangkangfu,8,0,0,63,459,6.31903,0
15,匿名用户,50,0,12,8448,7330,1263.89,0
18,李ok,8,0,0,13,289,4,0
16,戴诺,1,10,0,-2,226,1,0
17,小粉红都是我孙子,5,4,1,493,941,55.3124,0
19,ian,8,0,0,0,83,0,0
20,Kyle,8,0,0,0,273,0,0
21,Jesse,8,0,4,0,177,0,0
22,望風,8,0,0,0,156,0,0
23,jkl,7,0,0,0,107,0,0
24,阿雷拉,8,0,0,27,150,4,0
25,喵了个咪,8,0,0,0,103,0,0
26,smaher,8,0,0,0,86,0,0
27,laubonghaudoi,8,0,0,0,100,0,0
28,bayday,9,0,0,2,219,1,0
29,ChanChakWah,9,0,0,1,240,-2,0
30,匿名,8,0,0,0,77,0,0
31,直江兼续,8,0,0,0,74,0,0
32,MogicMinistry,5,4,5,19,409,6,0
33,罗马共和国公民,8,0,0,0,77,0,0
34,ads7113903,8,0,5,0,150,0,0
35,苍井空,3,0,0,11,505,2.9,0
14420,美帝良心,0,0,0,0,5,0,0
36,Hatate,8,0,0,0,72,0,0
37,egamma,8,0,0,-1,168,1.9,0
38,织毛线的兔子,8,0,0,0,58,0,0
39,Worldpeople,8,0,0,0,92,0,0
40,堂堂中国人,8,0,0,0,68,0,0
41,wdle,8,0,0,0,96,0,0
42,有意见背后提,8,0,0,46,365,10.395,0
43,haamagi,8,0,0,0,60,0,0
44,Suisyo,9,0,22,0,75,0,0
45,tryssss,8,0,0,0,66,0,0
46,ak,8,0,0,0,104,0,0
47,TT,8,0,0,0,65,0,0
48,a1,8,0,0,0,72,0,0
49,a2,8,0,0,0,72,0,0
50,Na1veBayes,8,0,2,0,70,0,0
51,A007,8,1,0,0,98,0,0
52,疯狂宇宙,14,0,2,105,640,36,0
53,Zephyr,8,0,0,0,67,0,0
54,吃蒜,8,4,0,2,222,-2,0
55,meetindarkness,8,0,0,0,93,0,0
56,谢俊豪,9,0,0,0,81,0,0
57,xijinpingsima,8,0,0,0,77,0,0
65,kydrizzy,8,0,0,0,70,0,0
58,王维林,8,0,0,1,212,0,0
59,通商宽衣,8,0,0,0,80,0,0
60,QAQ,8,0,4,0,72,0,0
61,牧鲲人,8,0,4,0,92,0,0
62,风格化浪费,3,0,1,32,368,8,0
63,Patrick,8,0,1,0,171,0,0
64,cat,9,2,1,16,503,7.4,0
66,pccp185812,8,0,5,0,73,0,0
67,aaaa1234,8,0,3,0,74,0,0
68,mzd,8,0,0,0,79,0,0
69,毛泽东,9,0,0,0,134,0,0
70,品蒜,8,0,0,4,229,1,0
71,Floating,8,0,0,0,76,0,0
72,yszyk,9,0,0,0,64,0,0
73,以泪洗面,8,0,0,0,67,0,0
74,倒车螳螂,8,0,0,8,215,2,0
79,the28thneo,8,3,4,0,146,0,0
75,Glinie,8,0,0,0,73,0,0
76,lllllll,8,0,0,2,234,1.2,0
77,菲,8,0,0,0,88,0,0
78,无益的人,8,0,0,0,113,0,0
80,Merlin,78,6,3,712,1669,253.5,0
81,ellatam,9,0,0,21,295,3.26,0
82,bob,8,0,0,4,177,2,0
83,zkcloudy,8,0,0,0,100,0,0
84,Less,8,0,0,0,105,0,0
85,剑胆琴心,3,0,0,73,492,11.995,0
89,cadw,8,0,0,0,72,0,0
86,一刻的孤独,8,0,7,11,262,3,0
87,nsfwhello,9,0,2,0,97,0,0
88,lI,4,0,4,70,375,14,0
92,XJYPFUAOX,8,14,0,38,541,7.61538,0
90,ciao,8,0,0,0,91,0,0
99,EtsavaNiko,8,0,0,38,280,2.95,0
91,bb,8,0,0,0,73,0,0
94,in_Gc,8,0,14,0,232,0,0
93,一号潜水员,8,0,0,0,127,0,0
95,hash,9,0,3,57,447,27.63,0
100,wanliang,9,0,0,0,84,0,0
96,arkulus,8,0,4,0,88,0,0
97,f800814,8,0,0,0,107,0,0
98,catriot,8,0,0,0,94,0,0
101,copyshiroe,8,0,0,0,65,0,0
102,AAAAAA,8,0,2,0,241,0,0
103,Hajime,8,0,0,6,199,0.2,0
111,中华韭菜,6,0,1,69,693,37.1,0
104,Google,8,0,0,0,85,0,0
105,吃瓜萌新,9,0,1,0,61,0,0
106,null,8,0,0,0,79,0,0
107,品葱,8,0,0,0,83,0,0
108,Feather,1,1,0,9,189,5,0
109,白昼夜行,7,0,0,0,72,0,0
110,伟大习神,7,0,0,0,87,0,0
112,n67yzveanlocom,3,0,0,76,479,23.2,0
113,m4gts,1,1,0,35,330,5.5,0
114,匿名品葱用户,0,1,0,125,440,9.97271,0
115,sasdapc123,7,0,0,0,56,0,0
118,慕楠,7,0,1,0,71,0,0
116,miao5,7,0,0,0,75,0,0
117,sylvanas,2,0,4,51,379,14.4057,1
119,Havesel,7,0,0,0,79,0,0
120,Brouthe,0,0,0,0,116,0,0
121,bigenguo,8,0,0,21,257,8,0
122,athlnn,7,0,0,0,83,0,0
123,利维坦,714,7,2,1590,3466,587.775,0
124,hhjgj,7,0,0,0,70,0,0
125,ghjhh,9,0,0,0,73,0,0
126,viewer8964,9,0,0,17,313,5,0
127,ros256,4,0,4,13,319,6,0
128,abc,9,0,0,0,59,0,0
129,Baiy,7,0,0,0,72,0,0
130,习习蛤蛤,7,0,2,0,71,0,0
131,motional,8,0,1,0,63,0,0
132,bonjour,9,1,0,24,192,0.100495,0
133,小钙,61,62,17,919,3358,373.743,0
134,cczz,7,0,0,0,64,0,0
135,suchsu,8,0,7,0,151,0,0
136,打夺夺,7,0,2,55,165,4.66392,0
137,Davidlu1709,8,0,18,0,197,0,0
138,plmmkoijn008,8,0,0,0,121,0,0
139,啊嘤,7,0,0,0,94,0,0
140,durahan,7,0,0,0,69,0,0
141,hei544n,8,0,0,3,289,0,0
142,vykuu,7,0,0,0,71,0,0
143,thepooper,8,0,0,0,67,0,0
144,Dover,7,0,0,0,81,0,0
145,魔法师,7,0,0,0,66,0,0
146,长者,8,0,0,0,116,0,0
208,baby,10,0,0,0,64,0,0
147,pjx39,8,0,0,0,73,0,0
148,athlonamd,8,1,0,28,478,10.26,0
149,洛克,7,0,0,0,60,0,0
