uid,question_discussion_count
117,3
250,20
2,29
313,1
393,3
204,1
219,1
404,1
3,9
200,6
422,24
440,5
80,8
189,1
419,1
216,106
344,2
155,1
469,117
194,1
327,2
340,1
551,9
484,2
176,1
414,12
570,5
612,1
645,1
62,1
566,1
133,191
723,8
653,35
763,3
747,1
9,4
159,3
833,1
889,5
934,1
836,2
947,1
940,1
558,6
515,2
275,3
824,9
1021,27
1056,1
1066,9
11,24
1097,4
245,2
593,14
495,1
1163,1
32,8
1110,1
95,1
357,6
1189,26
490,4
1263,10
15,163
1210,18
1273,1
291,4
744,3
728,1
1223,4
518,10
1329,2
1571,6
1559,4
981,1
1685,1
1240,2
1686,1
910,5
380,3
1191,4
1569,1
1197,1
1122,2
1270,4
5896,2
1309,1
1324,1
1042,1
1372,1
1380,1
1282,1
754,2
1411,1
111,1
549,1
12274,1
13318,6
17635,8
996,1
565,1
123,2
1,146
1392,3
1805,3
1073,1
2011,1
1706,1
2054,4
2070,3
2067,2
1829,1
1416,9
427,12
1174,1
2187,1
1535,2
1986,1
1842,1
2166,2
2241,1
2279,1
2291,1
2329,1
2355,1
2314,3
2382,1
2123,3
2122,1
2397,1
2333,22
2484,1
2495,1
524,25
884,6
2101,4
2533,1
2273,9
2164,1
2616,1
2705,18
2686,4
2631,1
15483,2
8978,8
1766,1
2786,1
2785,3
2782,1
165,40
2794,2
2722,2
2784,2
927,1
2296,20
2985,2
1553,3
1238,1
2555,1
2995,1
3047,3
2962,3
3012,104
2409,6
2881,1
1328,1
3501,2
1783,2
1820,1
3201,1
3237,3
3700,40
6793,1
173,9
6763,9
1434,4
6747,1
3048,1
3198,1
3308,3
3229,1
1274,1
3205,4
3144,1
3075,1
377,1
6388,1
3344,5
6005,3
5999,4
2309,3
5978,2
798,4
3565,1
2167,5
229,1
3570,1
951,4
3619,1
3620,1
3484,1
793,3
3693,1
3320,2
4766,2
7008,2
7430,1
832,3
2771,25
3616,6
2360,19
12127,3
6788,36
4761,3
2930,1
7055,2
7293,1
7195,3
7307,2
7126,2
7234,1
7363,1
1779,14
7418,2
7004,1
1339,3
2539,1
6962,1
6868,7
6380,1
1179,8
6844,1
6724,2
3125,1
1927,12
156,3
6352,1
6648,1
1848,4
6183,2
5812,8
6243,1
2841,1
5843,12
3311,1
6126,2
2110,20
12066,1
3597,1
6016,1
2710,1
6252,1
6238,1
5806,3
4887,2
6190,8
6218,5
695,1
4248,1
6078,1
4456,6
6064,1
6040,1
3059,1
5125,1
5439,1
6007,2
5959,1
4369,2
5660,3
5855,1
5839,1
5182,2
5431,5
5808,1
5804,1
5784,1
4222,7
5786,1
3065,3
4731,2
1098,2
2613,1
2871,2
5541,1
5520,1
5488,1
5186,1
3683,2
4436,1
4447,1
4457,1
1777,2
1979,1
1620,1
1946,3
4514,1
4570,1
4614,1
4617,1
4700,2
1077,6
4718,1
4748,1
4749,1
4769,3
11998,2
12080,1
920,1
4863,2
4869,1
3487,24
4889,2
4903,1
4867,3
4930,1
4906,3
3663,1
2482,2
4963,1
3028,1
4896,1
5016,1
3504,2
5127,1
2312,4
4977,2
4932,1
4615,1
5013,1
1441,1
6700,1
516,14
6545,1
7481,2
7485,5
7575,3
5721,1
7392,1
1389,2
7490,8
7715,2
6856,1
6749,1
7601,3
6056,2
7516,3
6737,1
7142,11
8039,3
1450,9
8047,1
8085,1
6573,6
8137,1
8159,2
8194,1
8221,2
4334,1
7689,17
8271,6
6076,1
5976,1
8320,1
6405,1
6960,1
8280,2
8401,2
8414,1
8426,1
8431,1
8506,1
8256,1
8507,1
4413,1
5759,1
8624,1
8633,2
8659,1
8669,2
8299,1
8645,4
4329,3
1506,1
6311,1
6616,2
7997,15
2410,2
8484,1
6886,1
8797,1
8803,1
8751,1
6171,9
8858,1
8877,1
8873,1
8887,1
8888,1
7358,1
8687,1
8920,1
3618,1
8984,1
8884,1
8993,2
7867,1
6168,1
7829,1
9109,6
8440,1
9205,1
9235,2
1582,1
9261,1
8321,1
9302,1
9320,1
9367,2
9398,1
8600,2
9413,1
4520,1
193,1
9464,2
9466,1
5760,3
9593,1
9576,2
7121,1
6231,1
7515,1
9543,1
7966,4
9644,2
8773,1
9746,3
9755,1
9775,1
9637,1
9769,1
9812,1
7472,7
4311,1
9844,2
9843,1
9840,5
9874,7
9251,1
9894,1
9897,1
9908,2
9960,3
10007,1
9360,2
10066,1
10054,1
10067,2
9391,1
10091,1
10107,1
10129,4
10128,1
4410,2
10174,2
10104,1
10372,3
10385,1
10410,3
7662,3
10470,2
8034,1
10521,1
10544,1
10545,1
10775,2
10542,1
6525,2
10875,1
3592,1
1801,1
10900,2
8850,4
10216,4
10988,1
11033,2
9455,3
11148,4
8380,1
9606,1
11161,6
11172,1
11174,1
11175,1
10853,11
4841,9
11192,4
10405,1
11208,4
11255,1
11254,1
10715,1
10680,1
10649,1
10679,2
10581,1
10726,1
11238,1
10757,2
10697,1
10837,1
11084,1
10755,2
11274,2
6549,1
11328,1
11423,2
11211,1
11341,1
8965,9
6874,4
9253,2
11471,1
10917,1
11607,1
10967,1
11497,2
8480,1
11540,1
11677,1
11775,1
8916,2
3532,4
9315,2
9922,1
11795,1
11884,1
11900,1
1020,6
10868,3
9014,1
2747,1
9862,2
11715,3
11722,1
12184,1
12213,2
12252,1
12256,1
6671,18
12267,2
11982,6
7141,1
7044,1
12348,2
12384,1
11823,1
8603,1
6275,8
12488,1
9504,1
9554,1
1967,2
7934,1
8604,1
799,2
8161,1
11820,3
12542,1
6725,1
299,1
9846,1
12297,7
1472,4
17313,9
14934,6
16100,11
11601,1
13300,2
10864,1
8847,9
8694,1
3685,8
13133,1
11730,1
4346,1
10013,1
11202,2
12343,1
12661,3
9304,1
7017,1
6453,1
13290,1
8792,2
7887,2
9384,1
14368,1
3744,1
14444,3
583,1
2858,1
8244,1
11380,1
13090,1
15234,2
7853,1
14707,3
210,1
12559,1
11198,1
113,1
15243,5
15617,1
13428,1
16020,1
14692,3
4724,6
14829,5
5000,1
4525,1
16577,1
14118,1
12872,6
17018,3
15539,2
10218,1
15673,1
15709,9
13710,2
3212,1
17001,4
5393,8
1451,3
13756,3
15472,1
17030,1
13587,1
14018,1
11498,5
12573,2
17543,1
15511,1
12163,2
8769,1
13879,2
6967,2
13786,2
8197,1
18302,1
12191,1
6984,1
13960,1
16647,1
18472,7
18242,4
10805,8
17555,1
13608,2
14081,1
7322,1
11130,1
17722,2
17461,1
12870,1
16964,3
13192,1
13614,1
15300,1
17423,4
14684,1
10865,1
16397,4
457,1
13728,1
232,1
11759,3
12857,1
18841,1
13549,3
14516,1
20033,1
14460,6
17060,1
13138,2
749,1
18864,1
815,2
19756,2
20301,1
18473,1
18639,1
9677,1
13328,1
20471,8
19634,1
18160,1
15461,1
18487,1
16550,2
14575,1
19508,1
16922,2
1784,1
21271,1
16137,1
13975,1
20202,1
6003,2
21163,1
19319,1
20229,1
16780,1
19365,1
19899,1
21047,2
20629,1
21134,1
19867,1
21662,2
21914,1
20551,1
21912,1
22115,1
