uid,question_upvoted_count
18317,105
16254,34
16147,85
8988,110
6708,73
6606,10
1189,94
4906,47
18217,3
6942,119
15055,27
15709,40
17868,4
14081,90
10805,167
18651,9
3629,73
18645,2
13909,34
1674,117
6586,8
17705,33
17423,48
987,15
18367,49
6311,2
2296,378
18416,2
13300,27
11589,21
3685,337
16909,41
10372,41
13705,68
7225,9
419,17
18472,12
18262,20
18570,15
3344,19
14954,21
8522,47
9644,113
9455,29
14139,5
17479,16
15889,3
2918,34
15,558
18523,8
758,9
7106,6
14516,21
9304,192
18527,7
3532,400
9555,56
18028,9
18582,1
17753,1
18228,15
15912,13
18561,2
9821,91
744,18
18539,5
8614,14
17098,71
16376,102
17010,15
733,8
7384,16
18242,9
2560,2
2858,368
8055,42
8633,130
1077,7
8982,35
11132,28
2984,6
12535,26
1421,4
2961,18
13318,49
1179,14
10448,107
12189,133
18386,21
11887,12
1946,4
8247,9
7068,90
1,142
347,4
17639,74
14201,1
9600,32
12297,142
7934,104
18393,15
5393,11
1821,6
9707,8
14699,4
1050,11
7997,36
11498,47
3012,120
6078,10
18380,2
18365,4
11725,10
8751,84
3237,1
18346,4
165,32
6967,62
11601,38
17436,58
17311,7
9251,16
17605,5
8841,37
3317,13
17555,1
8197,15
18305,2
14241,39
17978,4
9677,62
16100,83
4134,27
4519,2
405,19
3065,10
11,1
18248,7
5924,68
13093,20
13946,47
14812,34
14934,49
14394,42
18178,8
2,37
16211,9
10918,11
6616,75
12696,7
17001,39
7592,31
1962,22
1553,73
14863,5
380,37
12192,10
799,99
7142,13
9297,138
4851,8
18271,4
18280,18
17060,77
6126,1
15380,16
524,159
6171,39
3487,84
8603,4
9846,40
13979,11
13041,3
2962,21
555,4
6763,148
13059,30
16382,1
1296,4
3196,18
15340,4
18196,1
9384,3
17245,1
17520,3
13975,25
17693,9
4932,5
1766,16
18189,1
6450,3
17055,14
3022,12
12573,36
5438,2
17998,2
10770,21
5947,4
17513,41
6682,106
13913,17
3709,16
17952,2
13634,145
13009,34
13912,1
17110,6
12313,8
1637,23
910,123
18098,2
13632,19
15246,14
3125,6
1263,10
16974,7
11080,100
11152,9
15511,9
1506,6
9901,13
6052,16
8655,25
17532,13
15271,1
570,19
1132,6
15353,8
12105,3
17309,22
6246,9
17552,3
6671,11
17634,2
1043,14
1927,63
6108,6
17800,3
17030,29
12276,23
1270,14
6275,8
6056,10
15905,5
5125,17
558,12
17691,9
13786,14
3719,7
15784,8
17496,8
3683,2
2735,6
17424,7
16632,26
5838,18
5544,9
1120,3
6984,5
8978,7
16950,38
4,23
15870,22
216,140
3042,11
17648,1
4346,6
17543,18
593,4
9554,62
6938,1
17812,1
8992,9
17582,11
8154,2
7543,3
7093,2
17831,1
1210,1
1484,5
123,2
1940,7
7218,1
17118,4
6609,111
9599,31
17864,3
14299,138
12975,34
17722,1
1829,3
18360,2
15054,4
1541,5
6021,2
1097,34
9885,1
14953,2
3616,26
8209,1
8264,17
16020,26
11211,42
17397,1
18737,17
16977,17
18729,25
6573,19
6642,22
13916,9
2528,8
10988,4
7485,120
15603,3
9508,30
18691,54
12080,25
18957,27
11982,13
18486,1
18982,2
18160,4
12781,5
16964,2
5760,14
9580,147
18874,9
18300,1
18780,6
4436,13
10324,5
14575,24
882,4
18917,1
13614,1
8423,36
10811,34
19232,17
11143,31
19237,2
16122,20
6871,44
8757,4
19194,21
13802,13
19212,2
16220,2
18840,56
18670,2
11353,5
6005,1
18121,2
19267,44
19443,12
15782,66
14367,21
19445,18
19306,11
17322,3
18171,29
18004,66
19023,5
13400,25
4525,24
2502,64
19363,17
15499,4
18302,2
232,3
18886,5
4329,11
14168,12
18612,3
8328,14
19294,26
19626,32
12909,19
15956,2
1582,26
18639,9
9673,40
19469,19
19704,2
18149,27
16550,79
13904,6
10481,45
8600,5
2814,12
8897,59
17085,1
10411,1
2145,32
1021,14
6493,43
12493,16
15243,83
6681,17
16922,4
19255,10
19770,3
13549,10
18979,6
19870,12
15300,5
7281,51
1571,9
11160,14
18503,4
17708,4
16397,9
12291,34
749,18
3700,17
13090,32
6003,51
16958,5
18214,26
17658,12
2995,5
8021,3
18142,24
1552,23
20285,14
16189,32
19627,5
2309,4
17075,45
132,9
15998,4
19634,20
303,4
11804,1
20345,27
8203,31
16598,5
20185,1
19066,4
17086,13
1185,12
19779,15
17377,13
20240,1
19809,40
20601,5
20133,3
1967,9
17072,15
20111,41
19738,2
7336,11
20412,8
8916,29
19910,1
7890,9
1815,2
17,31
469,22
19145,3
13937,15
20723,2
18642,1
17443,11
8598,16
20644,21
20983,1
19413,10
12392,7
16306,21
14707,33
20996,17
20687,19
505,3
20261,37
18749,9
5628,12
8321,84
20301,9
21109,1
20646,4
18267,30
21271,3
15045,26
20236,73
21257,6
20974,6
793,10
20448,7
214,7
11571,4
21119,24
16338,12
9063,16
6190,6
13217,17
11475,6
21463,95
19756,29
18467,11
20440,4
766,12
12343,25
2231,1
19186,22
21790,3
528,8
20629,18
21533,7
19340,3
14460,2
13151,1
19444,1
15396,1
19899,26
21110,4
21475,21
20295,9
21290,2
19992,10
1339,14
21185,2
1329,5
17187,9
13199,1
953,3
21933,11
20327,10
14802,15
20200,11
14133,13
21251,6
6868,16
21134,17
21912,6
1734,7
2543,1
245,5
1174,2
1478,10
11100,13
1203,2
4887,12
18237,1
80,7
5851,10
1148,33
8872,4
889,9
9716,3
8125,18
11920,11
10304,2
11933,3
189,9
1046,3
7302,5
9164,5
11380,7
3480,8
6794,3
6208,24
4296,4
11130,6
11420,10
11238,12
12379,1
12539,1
11376,1
4803,2
4222,1
3592,10
10992,6
9910,13
8604,23
12679,14
5513,2
1961,3
8235,5
11928,1
5847,42
6725,4
8483,3
6194,2
11198,5
6874,4
268,1
1433,3
7392,2
11381,1
11536,1
10535,4
4369,3
8704,40
6591,30
11730,5
9706,8
8256,1
12698,3
9763,6
8801,12
11139,1
10522,1
2273,2
11943,2
12771,12
12693,15
133,4
12552,4
3693,9
10074,1
12811,72
12588,2
7314,2
1549,4
12311,52
12747,3
126,1
10936,15
6732,8
12550,6
8685,1
11715,10
418,12
8457,1
12554,1
4410,27
12934,1
5654,1
1245,1
12954,1
11800,1
12963,1
12968,11
7829,1
10218,2
7727,1
12584,5
12979,7
8792,21
8720,3
8769,14
11221,3
3105,15
12940,1
1979,3
8637,2
10475,10
9819,7
12953,1
10775,1
653,1
2329,1
8202,1
11096,3
11555,9
6875,2
8713,6
12983,9
10958,2
13099,6
12700,6
12969,6
12448,8
11939,1
13021,1
12349,1
10868,10
42,8
6241,8
6960,1
12399,20
13130,2
8946,6
12926,9
1451,3
13135,1
13140,1
12722,13
12946,6
798,8
11202,29
7529,7
13180,2
13179,7
12993,3
1006,4
13063,9
1472,5
13144,6
13147,1
12435,2
9231,6
11113,10
13223,1
9159,8
5976,3
12829,1
13245,2
11820,2
13255,9
8847,24
2613,4
13214,1
12923,1
13224,4
6540,1
1075,5
9606,1
13241,2
210,13
11193,1
6824,7
7047,3
13341,1
472,1
13353,2
2314,12
5908,1
12943,3
12592,5
7662,2
1283,13
13414,16
5805,2
12432,2
10159,5
6667,17
13428,10
10212,1
13427,1
2166,2
5000,4
12171,11
6326,2
9522,8
12421,2
7867,11
2144,1
1765,1
12933,1
11182,3
11243,1
13490,1
13492,10
13295,3
12052,2
595,2
9014,6
