uid,up_vote_count
1,299
4,9
8,1
11,2614
14,89
17,162
37,68
42,12
85,1
92,2
99,5
108,3
111,1
112,6
113,45
114,408
123,8
126,1
133,248
136,116
154,1
155,3
156,35
159,6
161,11
164,60
165,1093
167,6
173,1656
176,350
180,7
189,3
194,3
196,563
200,18
203,1
209,7
210,585
215,9
216,2626
225,1
232,424
245,372
250,311
252,317
255,3
257,1
259,69
266,43
268,1
271,120
278,14
290,5
299,30
307,1
314,5
320,1
327,3
333,1
334,90
336,6
345,6
347,7
357,161
377,1
384,2
418,121
419,1045
420,1
422,3
424,1
427,162
430,23
437,4
443,1
449,35
450,10
457,79
461,13
469,2661
471,1
484,1
501,2
505,1
512,40
516,132
521,35
524,1574
528,3
544,60
555,383
565,179
568,26
569,206
570,1
573,6
574,115
583,39
584,58
587,65
589,2
593,7
595,3
599,2
628,3
633,1
653,518
657,2
665,10
695,83
702,3
716,9
723,37
728,195
733,29
739,1
744,7
746,1
747,40
749,186
754,17
755,1
763,1
766,114
776,493
798,68
799,622
815,12
828,1
832,73
836,7
838,2
840,7
879,1
887,11
894,38
910,40
911,138
945,143
968,1
969,4
974,3
987,257
991,13
1001,59
1018,6
1020,373
1021,500
1028,36
1030,2
1050,66
1067,1
1069,48
1073,392
1075,31
1086,17
1090,3
1091,8
1097,92
1098,1
1105,3917
1108,411
1115,2
1122,2
1124,1764
1132,67
1148,5
1164,1
1174,1
1179,1044
1189,646
1191,33
1201,10
1217,5
1226,241
1242,3
1245,1
1247,3
1250,627
1254,2
1258,3
1261,34
1263,162
1274,13
1275,286
1283,612
1313,2
1323,1
1326,1
1328,44
1331,161
1339,58
1347,15
1348,36
1364,67
1366,2
1376,10
1380,35
1385,2
1387,7
1403,4
1416,4
1417,1
1421,74
1433,7
1434,8
1441,19
1450,18
1451,7
1468,1
1470,58
1472,135
1484,3087
1487,156
1497,3
1503,372
1506,14
1507,5
1508,5
1509,4
1510,4
1511,2
1512,2
1513,1
1536,4
1549,77
1550,6
1552,2576
1553,68
1561,149
1564,23
1567,2
1571,110
1581,1
1582,164
1587,1
1601,44
1625,3
1626,3
1637,268
1644,59
1648,10
1653,36
1654,10
1662,1
1664,1
1666,25
1674,43
1699,5
1702,219
1708,3
1719,36
1722,121
1738,1
1749,1
1762,1
1765,130
1766,356
1771,23
1777,32
1779,902
1784,68
1786,169
1789,311
1805,20
1820,84
1842,497
1848,463
1853,4
1854,54
1881,67
1896,1
1900,581
1902,1
1919,56
1927,549
1936,10
1941,5
1946,33
1962,3
1967,122
1968,7
1994,1
2002,1
2035,2
2039,5
2048,74
2054,744
2058,1080
2064,6
2065,11
2069,9
2070,8
2075,4
2086,1
2088,10
2097,1
2101,438
2110,888
2112,1
2121,1
2131,37
2132,42
2133,474
2145,925
2147,25
2159,7
2164,85
2167,1
2189,137
2192,7
2195,5
2206,1
2230,1
2231,20
2234,10
2244,2
2256,1
2259,9
2268,171
2296,788
2305,34
2309,87
2312,64
2314,267
