uid,vote_count
1,387
4,14
8,1
11,2676
14,97
17,237
37,72
42,18
85,1
92,2
95,1
99,5
108,3
111,1
112,9
113,46
114,503
123,8
126,1
133,292
136,116
154,4
155,3
156,44
159,6
161,13
164,60
165,1351
167,6
173,1680
176,382
180,7
189,8
194,3
196,576
200,18
203,2
209,8
210,731
211,2
215,10
216,2804
225,1
232,443
245,525
250,319
252,333
255,3
257,1
259,80
266,43
268,1
271,143
278,14
290,5
291,1
299,32
307,1
314,6
320,1
327,3
333,1
334,91
336,6
345,6
347,8
357,194
377,1
384,2
405,1
418,446
419,1322
420,1
422,3
424,1
427,218
430,23
437,9
443,1
449,37
450,12
457,81
461,17
469,2686
471,1
484,1
501,2
505,1
512,41
516,187
521,40
524,1764
528,3
544,60
555,392
565,329
568,26
569,233
570,8
573,6
574,118
583,51
584,61
587,72
589,3
593,7
595,5
599,2
618,4
628,3
633,1
653,621
657,2
665,12
695,93
702,3
716,12
723,37
728,241
733,36
739,4
744,7
746,1
747,43
749,188
754,30
755,1
763,1
766,151
776,511
798,109
799,779
815,13
828,1
832,76
836,14
838,2
840,11
879,1
887,11
894,54
910,108
911,159
945,147
968,1
969,4
974,3
987,267
991,14
1001,88
1006,1
1018,6
1020,399
1021,541
1028,38
1030,2
1050,68
1067,1
1069,48
1073,418
1075,34
1086,18
1090,3
1091,8
1097,97
1098,1
1105,4047
1108,412
1115,2
1122,6
1124,1812
1132,110
1148,7
1164,1
1174,1
1179,1064
1189,663
1191,38
1201,11
1217,9
1226,279
1242,3
1245,1
1247,3
1250,634
1254,3
1258,3
1261,34
1263,180
1274,13
1275,343
1283,626
1313,2
1323,1
1326,1
1328,51
1331,311
1339,70
1347,21
1348,41
1364,68
1366,2
1376,12
1380,38
1385,2
1387,8
1403,5
1416,6
1417,1
1421,76
1433,7
1434,9
1441,19
1450,80
1451,7
1468,1
1470,109
1472,147
1484,3161
1487,157
1497,3
1503,382
1506,17
1507,6
1508,6
1509,5
1510,4
1511,2
1512,2
1513,1
1536,5
1549,82
1550,6
1552,2660
1553,69
1561,150
1564,23
1567,9
1571,117
1581,1
1582,188
1587,2
1601,45
1625,3
1626,5
1637,285
1644,91
1648,13
1653,67
1654,11
1662,1
1664,1
1666,26
1674,45
1699,7
1702,230
1708,3
1719,38
1722,123
1738,1
1742,2
1749,1
1762,1
1765,159
1766,376
1771,23
1777,32
1779,1033
1784,70
1786,169
1789,317
1805,47
1820,88
1842,524
1848,552
1853,4
1854,54
1881,67
1896,1
1900,585
1902,1
1919,89
1927,689
1936,10
1941,5
1946,37
1962,3
1967,144
1968,7
1986,1
1994,1
2002,1
2015,1
2035,2
2039,8
2048,120
2054,806
2058,1137
2064,6
2065,18
2069,9
2070,8
2075,4
2086,2
2088,10
2097,1
2101,535
2110,909
2112,1
2121,1
2131,38
2132,52
2133,492
2145,974
2147,27
2159,7
2164,89
2167,1
2189,144
2192,7
2195,5
2206,5
2230,1
2231,23
2234,11
2244,2
2256,1
2259,11
2268,173
2296,1130
2305,46
2309,91
2312,65
2314,278
2333,53
2341,51
2352,65
2360,312
2375,2
2382,2
2394,1
2410,54
2428,77
2434,16
2436,1
2482,2603
2486,4
2490,3
2524,21
2527,1
2532,60
2533,385
2535,2
2537,9
2558,19
2560,7
2561,1
2562,7
2602,7
2613,285
2651,5
2673,1154
2710,7
2715,1
2725,597
2728,2
2735,170
2747,23
2769,11
2771,56
2777,13
2788,1
2791,24
2804,1
2809,3
2814,5
2841,3
2846,782
2852,6
2857,12
2858,297
2871,1
2895,17
2918,171
2925,2
2930,12
2938,11
2944,25
2960,4
2961,594
2962,43
2963,83
2969,3
2977,14
2984,183
2985,12
2997,1
3012,1001
3015,3
3020,391
3022,2
3028,45
3041,13
3042,28
3051,4
3053,30
3059,10
3063,2
3065,162
3074,3
3075,9
3089,4
3105,162
3122,16
3125,59
3128,23
3141,12
3151,4
3180,13
3192,4
3196,16
3202,4
3205,22
3212,993
3215,6
3216,384
3250,17
3269,10
3298,1
3308,5
3317,64
3320,133
3338,48
3344,58
3393,32
3409,4
3410,4
3411,8
3480,120
3484,169
3487,1495
3501,55
3504,4
3512,8
3529,7
3532,256
3538,96
3541,27
3544,4
3578,3
3592,27
3602,5
3603,9
3604,9
3622,4
3627,26
3629,101
3635,5
3645,223
3663,896
3671,12
3672,30
3683,2
3685,628
3689,3
3693,4
3696,2
3700,37
3704,7
3709,1909
3719,2
3720,2
3730,1566
3744,20
3747,2
3748,2
3757,33
3869,16
4029,3
4063,2
4118,75
4126,3
4222,9
4244,4
4296,5
4311,1
4318,3
4329,24
4330,2
4331,31
4334,107
4346,114
4369,223
4391,16
4400,2
4410,348
4413,2
4416,2
4429,2
4439,9
4443,3
4456,22
4477,1
4482,1
4489,54
4494,1
4502,2
4515,4
4520,328
4523,83
4525,1130
4526,12
4554,16
4555,39
4560,1
4563,4
4615,70
4702,3
4724,187
4761,11
4765,110
4766,4
4783,2
4810,1
4841,7
4887,342
4896,4
4898,45
4906,10
4922,1
4929,1
4932,1
4938,1
4959,1
4977,1
4984,265
4992,1
5000,581
5008,18
5030,7
5058,1
5077,4
5083,15
5121,13
5135,7
5149,34
5157,12
5178,30
5180,6
5182,2
5192,261
5223,1
5226,1
5241,9
5252,30
5256,42
5283,2
5290,1
5292,10
5310,2
5333,1
5336,18
5339,109
5346,43
5364,4
5380,3
5382,14
5390,24
5393,77
5428,25
5438,8
5452,1
5468,1
5473,12
5477,1
5488,30
5501,3
5509,11
5511,3487
5513,14
5521,142
5537,55
5544,417
5550,1
5572,29
5589,10
5605,1
5606,16
5615,39
5628,222
5630,5
5636,18
5643,37
5649,9
5654,25
5660,5
5666,5
5667,3
5676,6
5686,9
5693,1
5699,109
5707,18
5709,6
5720,32
5721,62
5722,151
5732,194
5740,10
5746,6
5759,1
5760,622
5764,41
5770,11
5783,1
5789,3
5805,2
5812,128
5817,1
5827,18
5838,104
5839,17
5841,1
5843,1560
5847,3
5851,118
5852,30
5861,70
5868,61
5874,19
5876,3
5890,23
5896,12
5898,152
5907,340
5913,1
5924,510
5947,22
5968,2
5973,2
5976,16
5984,1
5988,2
6003,645
6005,7
6013,457
6021,53
6029,36
6035,1
6038,3
6051,4
6056,520
6058,1
6064,35
6071,1
6074,379
6075,208
6076,521
6078,12
6092,466
6097,5
6099,10
6107,2
6108,83
6112,211
6153,212
6157,3
6171,1009
6172,31
6173,5
6190,1545
6193,665
6194,180
6198,6
6203,7
6204,1
6207,13
6208,7
6225,1
6227,13
6231,3
6235,1
6246,37
6248,9
6251,181
6269,10
6275,1075
6277,11
6279,124
6288,21
6293,29
6301,38
6306,5
6313,400
6316,57
6319,25
6328,95
6333,49
6336,5
6341,89
6345,25
6347,34
6352,137
6358,56
6364,6
6388,23
6392,12
6399,2
6401,16
6404,1
6405,235
6413,20
6414,72
6437,1
6450,21
6453,12
6457,1
6459,20
6462,2
6466,7
6480,1
6481,1
6483,59
6488,11
6489,3999
6493,68
6494,21
6495,7
6497,2
6505,290
6507,37
6508,144
6511,2
6523,24
6525,1751
6526,6
6531,2
6537,46
6539,27
6540,26
6544,1
6549,14
6558,171
6562,284
6569,1
6573,239
6576,186
6580,3
6586,81
6591,165
6596,6
6598,1
6606,67
6613,2
6614,250
6616,265
6618,1
6634,3
6642,5
6643,3
6649,10
6667,79
6671,644
6672,51
6681,2
6682,1
6690,205
6698,266
6705,5
6708,312
6722,1
6725,8
6726,2
6727,3
6732,5
6733,1
6737,15
6744,1
6748,1
6754,11
6763,247
6765,9
6766,3
6767,18
6775,11
6778,12
6786,20
6794,7
6796,38
6807,11
6808,4
6824,2
6828,1
6834,31
6845,8
6860,26
6868,2422
6871,250
6874,724
6875,41
6886,6
6903,33
6906,1
6910,3
6918,1
6924,27
6930,2
6931,1
6936,1
6940,2
6942,42
6946,74
6949,17
6951,78
6952,572
6961,14
6967,369
6974,83
6975,2
6979,36
6984,45
6987,2
6996,15
7000,1
7003,4
7017,3
7018,10
7030,5
7042,1
7044,19
7047,6
7048,2
